關卡,名稱,屬性1,屬性2,HP,特性名稱,特性說明,招式1名稱,招式1威力,招式1消耗,招式1屬性,招式1異常,招式1機率,招式1特殊效果,招式2名稱,招式2威力,招式2消耗,招式2屬性,招式2異常,招式2機率,招式2特殊效果,招式3名稱,招式3威力,招式3消耗,招式3屬性,招式3異常,招式3機率,招式3特殊效果,招式4名稱,招式4威力,招式4消耗,招式4屬性,招式4異常,招式4機率,招式4特殊效果
第1關(弱),大針蜂,蟲,毒,200,毒刺,受到攻擊後 20% 機率讓攻擊者中毒,針刺,17,1,蟲,,,Mega能量×2；下回合+5能量,毒針,16,1,毒,,,Mega能量×2；下回合+5能量,十字剪,56,7,蟲,,,Mega能量×2；下回合+5能量,撐住,輔助,5,蟲,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）
第1關(弱),阿柏怪,毒,,200,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,纏繞,12,0,一般,睡眠,25%,Mega能量×2；下回合+4能量,毒牙,12,0,毒,中毒,35%,Mega能量×2；下回合+4能量,甩尾,50,6,一般,,,Mega能量×2；下回合+4能量,撐住,輔助,5,毒,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）
第1關(弱),雷丘,電,,200,靜電,受到攻擊後 20% 機率讓攻擊者陷入麻痺,衝撞,10,0,一般,,,Mega能量×2；下回合+4能量,十萬伏特,10,1,電,麻痺,30%,Mega能量×2；下回合+5能量,電磁衝浪,54,6,電,麻痺,20%,Mega能量×2；下回合+4能量,撐住,輔助,5,電,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）
第1關(弱),胡地,超能,,200,同步,陷入中毒／麻痺／燒傷時，會將該狀態傳染給攻擊者,超能力,16,1,超能,混亂,30%,Mega能量×2；下回合+5能量,念力,15,0,超能,混亂,25%,Mega能量×2；下回合+4能量,暗影球,55,6,幽靈,,,Mega能量×2；下回合+4能量,詭計,輔助,3,超能,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）
第1關(弱),勾魂眼,惡,幽靈,200,洞察力,25% 機率將受到的傷害減半,暗影球,17,1,幽靈,,,Mega能量×2；下回合+5能量,小偷,輔助,5,惡,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,寶石爆破,54,7,岩石,,,Mega能量×2；下回合+5能量,暗黑爆破,94,12,惡,,,回血25%
第1關(弱),大嘴娃,鋼,妖精,200,威嚇,上場時讓對方下一次攻擊傷害 ×0.5,啃咬,10,0,惡,,,Mega能量×2；下回合+4能量,鐵頭,14,0,鋼,,,Mega能量×2；下回合+4能量,詭計,輔助,3,鋼,,,輔助技能：下回合額外抽1張支援者卡（另外+5能量）,重磅衝撞,91,11,鋼,中毒,30%,
第1關(弱),鐵蟻,鋼,蟲,200,大力士,攻擊傷害固定 ×1.25,撐住,輔助,5,鋼,,,輔助技能：任何血量下次不會被擊倒（另外+5能量）,金屬爪,17,1,鋼,,,Mega能量×2；下回合+5能量,鋼鐵頭,53,7,鋼,,,Mega能量×2；下回合+5能量,蟲之抵抗,95,12,蟲,麻痺,20%,
第1關(弱),花葉蒂,妖精,,200,花之守護,25% 機率將受到的傷害減半,魔法閃耀,11,0,妖精,,,Mega能量×2；下回合+4能量,劍舞,輔助,4,妖精,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,月亮之力,50,6,妖精,,,Mega能量×2；下回合+4能量,葉暴風,90,11,草,結凍,15%,
第1關(弱),貓老大,一般,,210,背水之刃,HP 低於 50% 時，攻擊傷害 ×1.3,冥想,輔助,3,一般,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,音爆拳,16,1,格鬥,,,Mega能量×2；下回合+5能量,惡意突刺,59,7,惡,,,Mega能量×2；下回合+5能量,連續切,98,12,一般,混亂,25%,
第1關(弱),三合一磁怪,電,鋼,210,電擊尾隨,攻擊命中時額外 15% 機率讓目標陷入麻痺,電磁炮,24,2,電,麻痺,30%,Mega能量×2；下回合+6能量,集氣,輔助,3,電,,,輔助技能：下回合額外能量+9能量（另外+5能量）,電磁衝浪,60,8,電,麻痺,20%,Mega能量×2；下回合+6能量,閃光炮,101,12,鋼,,,回血18%
第1關(弱),凱羅斯,蟲,,210,破格,攻擊時無視對方的防禦型特性,斷頭台,20,1,蟲,,,Mega能量×2；下回合+5能量,劍舞,輔助,4,蟲,,,輔助技能：下次攻擊威力×1.5（另外+5能量）,角撞,59,7,一般,,,Mega能量×2；下回合+5能量,石頭砸落,102,13,岩石,混亂,25%,
第1關(弱),恰雷姆,格鬥,超能,210,驚人怪力,攻擊傷害固定 ×1.25,空手劈,15,1,格鬥,,,Mega能量×2；下回合+5能量,念力,18,1,超能,,,Mega能量×2；下回合+5能量,小偷,輔助,5,格鬥,,,輔助技能：隨機搶對方一張手牌（另外+5能量）,惡意彈珠,96,12,惡,,,回血30%
第1關(弱),鐵螯龍蝦,水,惡,210,適應力,本系加成（STAB）提升為 ×2（原本 ×1.5）,冥想,輔助,3,水,,,輔助技能：下回合額外抽2張道具/競技場卡（另外+5能量）,夜斬,17,1,惡,,,Mega能量×2；下回合+5能量,亂爪,57,8,惡,,,Mega能量×2；下回合+6能量,泥巴射擊,102,13,地,燒傷,25%,
第1關(弱),詛咒娃娃,幽靈,,210,不眠,不會陷入睡眠狀態,暗影球,18,1,幽靈,,,Mega能量×2；下回合+5能量,集氣,輔助,3,幽靈,,,輔助技能：下回合額外能量+9能量（另外+5能量）,暗黑爆破,58,7,惡,,,Mega能量×2；下回合+5能量,念力,94,12,超能,,,回血19%
第1關(弱),米立龍,龍,水,210,指揮,攻擊傷害固定 ×1.25,水槍,19,1,水,,,Mega能量×2；下回合+5能量,龍之氣息,13,1,龍,,,Mega能量×2；下回合+5能量,影舞,輔助,2,龍,,,輔助技能：下次受擊50%機率完全閃避（另外+5能量）,龍之波動,99,11,龍,結凍,15%,
